Episodes,Reward 1,Reward 2,Reward 3,mean,top,bottom,
208,34.26,25.8,44.5,34.85333333333333,44.21744211812077,25.48922454854589,
209,34.33,25.9,44.42,34.88333333333333,44.15572425117828,25.61094241548839,
210,34.59,26.0,44.39,34.99333333333333,44.19496543494081,25.79170123172585,
211,34.29,26.16,43.69,34.71333333333333,43.485997314891804,25.94066935177486,
212,34.37,26.34,43.28,34.663333333333334,43.13714200082951,26.189524665837155,
213,34.59,27.19,43.58,35.120000000000005,43.3278438094301,26.91215619056991,
214,35.03,27.16,43.56,35.25,43.45221311598279,27.047786884017214,
215,35.12,27.22,43.76,35.36666666666667,43.63942517476621,27.093908158567125,
216,34.88,27.85,43.97,35.56666666666667,43.64857444474316,27.48475888859018,
217,34.88,28.12,44.0,35.66666666666667,43.63584060963801,27.697492723695333,
218,35.0,28.32,44.28,35.86666666666667,43.88188552414856,27.851447809184776,
219,35.14,28.48,43.77,35.79666666666667,43.46278911111884,28.130544222214496,
220,35.19,28.56,43.63,35.79333333333334,43.3464276219897,28.240239044676976,
221,35.57,28.35,43.12,35.68,43.065614395566556,28.294385604433444,
222,35.51,28.16,43.25,35.64,43.185839913488756,28.094160086511245,
223,35.52,28.24,43.26,35.67333333333333,43.184507231821726,28.162159434844938,
224,35.57,27.96,43.33,35.62,43.30512198992312,27.934878010076872,
225,35.76,28.12,43.32,35.733333333333334,43.33336842097164,28.13329824569503,
226,35.94,28.43,44.87,36.413333333333334,44.64354799234031,28.18311867432636,
227,35.28,27.81,45.75,36.28,45.29170904989725,27.268290950102752,
228,35.48,28.2,46.78,36.82,46.18220059601374,27.45779940398626,
229,35.59,28.2,48.16,37.31666666666666,47.408070599387486,27.22526273394584,
230,35.6,28.37,47.92,37.29666666666667,47.181484992429326,27.411848340904008,
231,35.52,28.39,48.19,37.36666666666667,47.39500817128912,27.338325162044214,
232,36.31,29.32,48.84,38.156666666666666,48.04682507456557,28.266508258767765,
233,36.3,29.5,48.87,38.22333333333333,48.05052180885029,28.39614485781637,
234,36.35,30.09,48.01,38.15,47.24459179952569,29.055408200474304,
235,36.96,30.16,48.15,38.42333333333333,47.507166958699514,29.33949970796715,
236,37.15,30.28,48.38,38.60333333333333,47.740435353850195,29.46623131281647,
237,37.46,30.29,48.5,38.75,47.923281855475715,29.576718144524285,
238,37.34,30.32,48.67,38.77666666666667,48.03564249195822,29.51769084137512,
239,37.47,30.37,49.02,38.95333333333333,48.366400491987484,29.540266174679182,
240,37.39,30.18,49.51,39.026666666666664,48.79504592493328,29.258287408400054,
241,37.14,30.28,49.9,39.10666666666667,49.06341981884099,29.149913514492347,
242,37.24,30.44,50.15,39.27666666666667,49.288261611196404,29.265071722136938,
243,37.27,30.52,51.29,39.693333333333335,50.28826765749662,29.098399009170052,
244,37.46,30.74,51.51,39.903333333333336,50.501712140176075,29.304954526490597,
245,37.34,30.86,51.54,39.913333333333334,50.490768435158984,29.335898231507688,
246,37.3,30.8,51.65,39.916666666666664,50.58511703836233,29.248216294971,
247,37.38,30.82,51.68,39.96,50.62663958329895,29.293360416701052,
248,37.37,30.68,52.12,40.056666666666665,51.026262526739785,29.087070806593545,
249,37.11,30.81,53.05,40.32333333333333,51.78625326384551,28.860413402821152,
250,37.52,30.83,52.83,40.39333333333333,51.671277886013726,29.11538878065294,
251,37.67,30.7,52.74,40.370000000000005,51.635340651751285,29.104659348248724,
252,37.69,30.63,52.76,40.36,51.664021408330754,29.055978591669245,
253,37.62,30.56,53.11,40.43,51.96463046655592,28.895369533444082,
254,37.57,30.56,53.48,40.53666666666666,52.281130610727,28.792202722606326,
255,37.66,30.64,54.02,40.77333333333333,52.770238489803205,28.77642817686346,
256,38.71,30.61,54.18,41.166666666666664,53.14216804795895,29.19116528537438,
257,38.42,30.15,54.04,40.87,53.00197840420102,28.738021595798976,
258,38.4,30.43,54.4,41.07666666666667,53.283780712719214,28.869552620614122,
259,38.67,30.47,55.56,41.56666666666667,54.3600256209575,28.77330771237584,
260,38.52,30.54,55.4,41.486666666666665,54.17941000029369,28.793923333039636,
261,38.3,30.17,55.61,41.36,54.35311740884381,28.36688259115619,
262,38.54,30.86,56.2,41.86666666666667,54.86008551365738,28.873247819675957,
263,38.51,30.86,56.02,41.79666666666667,54.694652297505826,28.898681035827508,
264,39.05,30.98,56.94,42.32333333333333,55.60928205118307,29.037384615483585,
265,39.12,31.04,57.19,42.449999999999996,55.8392606218566,29.06073937814339,
266,39.49,31.17,57.69,42.78333333333333,56.346597443912806,29.220069222753857,
267,39.75,31.42,59.44,43.53666666666667,57.92535087799514,29.147982455338195,
268,40.24,31.33,59.26,43.61,57.87670599683052,29.343294003169476,
269,40.09,31.87,59.61,43.85666666666667,58.105095819851705,29.608237513481633,
270,40.35,31.8,60.03,44.06,58.53605954671367,29.58394045328633,
271,40.06,31.94,60.65,44.21666666666667,59.01614075642179,29.417192576911543,
272,40.19,31.57,60.61,44.123333333333335,59.03754579438314,29.209120872283528,
273,40.04,31.48,61.25,44.25666666666667,59.58306328600722,28.930270047326122,
274,41.21,31.54,62.34,45.03,60.78132692823053,29.278673071769475,
275,41.36,31.76,62.36,45.16,60.8099201275917,29.51007987240829,
276,41.23,31.77,62.27,45.09,60.7020850625405,29.47791493745951,
277,41.27,32.69,63.13,45.696666666666665,61.392046029183945,30.001287304149386,
278,41.13,33.1,63.45,45.89333333333334,61.6190331057865,30.167633560880176,
279,41.1,32.83,63.68,45.87,61.838572259284796,29.9014277407152,
280,41.27,32.7,63.74,45.903333333333336,61.933655642424114,29.87301102424256,
281,41.55,32.85,64.11,46.17,62.30397657119906,30.036023428800945,
282,41.57,32.73,64.76,46.35333333333333,62.89541401664924,29.81125265001742,
