Episodes,Reward 1,Reward 2,Reward 3,mean,top,bottom,
198,194.59,145.49,194.71,178.26333333333335,206.64593598589735,149.88073068076935,
199,194.59,145.04,194.73,178.12,206.76820587750655,149.47179412249346,
200,194.59,144.38,194.73,177.9,206.92925593259326,148.87074406740675,
201,194.59,143.69,195.19,177.82333333333332,207.385189386926,148.26147727974066,
202,193.99,143.03,195.19,177.40333333333334,207.17755932383278,147.6291073428339,
203,193.99,142.3,195.19,177.16,207.3556072964264,146.9643927035736,
204,193.99,143.03,195.19,177.40333333333334,207.17755932383278,147.6291073428339,
205,194.31,142.4,195.19,177.3,207.5274891448165,147.0725108551835,
206,195.7,142.04,195.19,177.64333333333332,208.47777889885847,146.80888776780816,
207,197.37,141.37,196.16,178.3,210.28803995245724,146.31196004754278,
208,197.37,140.54,196.28,178.06333333333333,210.56406306873055,145.56260359793612,
209,197.37,139.33,196.28,177.66,210.85922740064893,144.46077259935106,
210,197.37,138.52,196.28,177.39000000000001,211.0568189765532,143.72318102344684,
211,197.37,138.51,196.19,177.35666666666665,211.00404001635525,143.70929331697806,
212,197.37,137.93,196.15,177.15,211.12099350916895,143.17900649083106,
213,197.37,138.3,196.15,177.27333333333334,211.03074190291008,143.5159247637566,
214,197.37,138.19,196.43,177.33,211.2294926215718,143.43050737842822,
215,197.37,138.01,196.43,177.27,211.2734057117813,143.26659428821873,
216,197.37,137.47,196.43,177.09,211.4051453442937,142.77485465570632,
217,197.37,136.59,196.43,176.79666666666668,211.61983328507364,141.97350004825972,
218,197.37,135.72,196.43,176.50666666666666,211.83208291804766,141.18125041528566,
219,197.37,135.33,196.43,176.37666666666667,211.92722971893537,140.82610361439797,
220,197.37,135.25,197.13,176.58333333333334,212.37925116390912,140.78741550275757,
221,197.37,134.45,196.99,176.27,212.4876807650628,140.05231923493722,
222,197.37,134.02,196.99,176.12666666666667,212.59260465451135,139.66072867882198,
223,197.37,132.92,196.88,175.72333333333333,212.79291700152865,138.653749665138,
224,197.37,132.48,196.76,175.53666666666666,212.82608116104205,138.24725217229127,
225,197.37,132.24,196.76,175.45666666666668,212.88464060773558,138.02869272559778,
226,197.37,130.61,196.69,174.89000000000001,213.23911211488476,136.54088788511527,
227,197.37,130.46,196.69,174.84,213.2757112591923,136.40428874080771,
228,197.37,129.9,196.68,174.65,213.40617241163014,135.89382758836987,
229,197.71,130.02,196.64,174.79,213.56564828600546,136.01435171399453,
230,196.16,130.11,196.31,174.19333333333333,212.37069355288403,136.01597311378262,
231,196.16,129.64,196.31,174.03666666666666,212.4853809928094,135.5879523405239,
232,196.16,129.68,197.08,174.30666666666667,212.9572311299877,135.65610220334565,
233,196.16,129.68,196.98,174.27333333333334,212.89446917024696,135.65219749641972,
234,196.16,129.07,196.98,174.07,213.04329983463037,135.0967001653696,
235,196.16,128.82,196.98,173.98666666666665,213.1042961108614,134.8690372224719,
236,196.16,128.2,196.98,173.78,213.25556712702175,134.30443287297825,
237,196.16,127.9,196.71,173.59,213.15965630378915,134.02034369621086,
238,196.16,127.77,196.16,173.36333333333334,212.84831824321185,133.87834842345484,
239,196.16,127.35,196.16,173.22333333333333,212.95080535627147,133.49586131039518,
240,196.16,128.17,196.1,173.47666666666666,212.71340242963927,134.23993090369405,
241,196.16,126.86,195.94,172.98666666666668,212.93368324279328,133.03965009054008,
242,196.16,126.13,194.84,172.37666666666667,212.43289256643578,132.32044076689755,
243,196.16,126.21,194.59,172.32,212.260146469436,132.379853530564,
244,196.16,126.25,194.58,172.33,212.2442693782562,132.41573062174382,
245,196.16,127.24,194.3,172.56666666666666,211.8317266224764,133.30160671085693,
246,196.16,126.77,193.98,172.30333333333334,211.75141862696114,132.85524803970554,
247,196.16,126.32,193.84,172.10666666666665,211.77604696600247,132.43728636733084,
248,196.16,126.1,195.47,172.57666666666665,212.82811922844797,132.32521410488533,
249,196.16,126.24,195.3,172.56666666666666,212.6890411394385,132.44429219389482,
250,196.16,126.01,195.3,172.49,212.7451574335513,132.23484256644872,
251,196.16,125.78,195.12,172.35333333333332,212.69037503613217,132.01629163053448,
252,196.16,125.06,194.89,172.03666666666666,212.72460877895998,131.34872455437335,
253,196.16,124.81,194.75,171.90666666666667,212.69966892604117,131.11366440729216,
254,196.16,124.42,194.64,171.74,212.7273687860053,130.75263121399473,
255,196.25,123.96,194.64,171.61666666666667,212.89640059668776,130.3369327366456,
256,196.25,123.56,194.64,171.48333333333332,212.99396369873892,129.97270296792772,
257,196.25,122.07,194.39,170.90333333333334,213.20446491788238,128.6022017487843,
258,196.25,122.36,194.24,170.95,213.04217385690598,128.857826143094,
259,196.25,122.23,194.17,170.88333333333333,213.03118895296518,128.73547771370147,
260,196.25,122.52,194.17,170.98,212.9604752236084,128.99952477639158,
261,196.25,123.23,194.17,171.21666666666667,212.78735024696556,129.64598308636778,
