Episodes,Reward 1,Reward 2,mean,top,bottom,
71,16.0,27.0,21.5,29.27817459305202,13.721825406947978,
72,13.0,52.0,32.5,60.07716446627535,4.922835533724648,
73,16.0,28.0,22.0,30.485281374238568,13.51471862576143,
74,11.0,11.0,11.0,11.0,11.0,
75,14.0,26.0,20.0,28.485281374238568,11.51471862576143,
76,21.0,11.0,16.0,23.071067811865476,8.928932188134524,
77,17.0,29.0,23.0,31.485281374238568,14.51471862576143,
78,32.0,46.0,39.0,48.89949493661167,29.100505063388333,
79,34.0,30.0,32.0,34.82842712474619,29.17157287525381,
80,15.0,38.0,26.5,42.7634559672906,10.236544032709407,
81,16.0,38.0,27.0,42.55634918610404,11.443650813895955,
82,14.0,20.0,17.0,21.242640687119284,12.757359312880716,
83,23.0,45.0,34.0,49.55634918610404,18.443650813895957,
84,12.0,43.0,27.5,49.42031021678297,5.579689783217027,
85,33.0,38.0,35.5,39.03553390593274,31.964466094067262,
86,13.0,18.0,15.5,19.035533905932738,11.964466094067262,
87,15.0,11.0,13.0,15.82842712474619,10.17157287525381,
88,29.0,27.0,28.0,29.414213562373096,26.585786437626904,
89,11.0,38.0,24.5,43.59188309203678,5.408116907963215,
90,17.0,12.0,14.5,18.035533905932738,10.964466094067262,
91,13.0,40.0,26.5,45.59188309203678,7.408116907963215,
92,14.0,38.0,26.0,42.970562748477136,9.029437251522861,
93,20.0,22.0,21.0,22.414213562373096,19.585786437626904,
94,18.0,15.0,16.5,18.621320343559642,14.378679656440358,
95,25.0,52.0,38.5,57.59188309203678,19.408116907963215,
96,20.0,29.0,24.5,30.86396103067893,18.13603896932107,
97,18.0,48.0,33.0,54.21320343559643,11.786796564403573,
98,11.0,13.0,12.0,13.414213562373096,10.585786437626904,
99,16.0,64.0,40.0,73.94112549695427,6.058874503045722,
100,29.0,29.0,29.0,29.0,29.0,
101,12.0,64.0,38.0,74.76955262170047,1.2304473782995302,
102,17.0,9.0,13.0,18.65685424949238,7.343145750507619,
103,25.0,16.0,20.5,26.86396103067893,14.136038969321072,
104,11.0,19.0,15.0,20.65685424949238,9.34314575050762,
105,38.0,20.0,29.0,41.72792206135786,16.272077938642145,
106,20.0,57.0,38.5,64.66295090390226,12.33704909609774,
107,20.0,22.0,21.0,22.414213562373096,19.585786437626904,
108,44.0,13.0,28.5,50.42031021678297,6.579689783217027,
109,52.0,28.0,40.0,56.970562748477136,23.02943725152286,
110,23.0,51.0,37.0,56.798989873223334,17.20101012677667,
111,16.0,36.0,26.0,40.14213562373095,11.857864376269049,
112,17.0,41.0,29.0,45.970562748477136,12.029437251522861,
113,25.0,12.0,18.5,27.692388155425117,9.307611844574883,
114,9.0,17.0,13.0,18.65685424949238,7.343145750507619,
115,10.0,77.0,43.5,90.87615433949868,-3.876154339498683,
116,29.0,17.0,23.0,31.485281374238568,14.51471862576143,
117,12.0,70.0,41.0,82.01219330881975,-0.012193308819753668,
118,42.0,8.0,25.0,49.04163056034261,0.9583694396573854,
119,11.0,22.0,16.5,24.27817459305202,8.721825406947978,
120,15.0,24.0,19.5,25.86396103067893,13.136038969321072,
121,16.0,29.0,22.5,31.692388155425117,13.307611844574883,
122,20.0,18.0,19.0,20.414213562373096,17.585786437626904,
