Episodes,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,mean,top,bottom
111,36,45,39,52,24,69,32,55,32,69,63,45,35,49,31,49,68.2599939881,29.7400060119
112,77,46,35,89,49,47,122,108,35,47,62,32,46,82,89,61.1,88.8998485418,33.3001514582
113,39,27,32,39,32,83,36,28,46,32,61,77,42,25,108,46.85,69.3965016542,24.3034983458
114,49,59,26,48,39,31,47,49,48,52,48,27,39,45,38,43.95,59.3378797144,28.5621202856
115,35,54,104,73,53,86,37,72,78,34,41,49,95,29,56,54.55,77.6913846649,31.4086153351
116,41,58,47,75,38,30,29,67,72,43,64,68,39,113,37,51.05,72.0724817004,30.0275182996
117,75,44,73,40,32,33,121,71,21,32,79,34,29,25,55,51.75,79.3445742188,24.1554257812
118,33,31,36,22,49,38,24,30,56,34,55,54,35,101,43,45.6,65.336154374,25.863845626
119,25,32,51,26,40,75,29,37,30,24,33,69,71,61,71,44.35,62.3332524428,26.3667475572
120,64,26,26,35,41,37,72,35,50,28,39,50,24,21,55,43.05,61.0630800429,25.0369199571
121,40,155,69,91,77,82,44,40,71,43,55,69,27,37,48,61.1,95.9106154408,26.2893845592
122,43,49,47,30,71,64,29,45,59,72,31,46,59,36,41,46,59.8943381123,32.1056618877
123,40,65,125,40,29,79,40,32,50,30,24,37,26,53,30,45.3,69.9514652068,20.6485347932
124,44,49,89,105,78,26,47,44,60,37,87,67,66,55,28,59.15,81.9956491309,36.3043508691
125,74,22,91,30,56,41,72,66,60,33,48,45,25,37,40,47.6,66.893849579,28.306150421
126,59,24,49,39,52,25,38,53,51,34,32,63,36,68,37,42.4,57.0445606931,27.7554393069
127,62,86,39,44,78,65,78,39,72,29,31,34,73,76,75,54.15,74.0187138354,34.2812861646
128,65,146,49,38,56,24,26,52,39,47,37,51,29,24,34,47,73.1493685141,20.8506314859
129,70,40,37,67,44,48,97,39,56,53,26,67,27,66,77,56.2,76.2488876184,36.1511123816
130,28,27,40,36,82,28,63,70,66,31,24,36,46,72,34,46.55,65.1891636361,27.9108363639
131,29,69,85,45,46,39,31,78,102,39,49,29,20,59,47,51.6,72.5545874892,30.6454125108
132,105,55,43,54,64,24,120,44,34,54,26,29,24,28,38,48.25,74.3527826708,22.1472173292
133,38,49,42,48,49,24,67,36,47,32,52,72,41,32,85,44.1,59.6661576234,28.5338423766
134,55,22,71,50,82,43,106,36,79,88,34,32,38,65,47,54,76.1905622423,31.8094377577
135,35,27,31,24,36,37,28,23,30,26,23,36,81,82,68,39.4,58.4135685623,20.3864314377
136,30,37,35,59,59,71,42,92,24,60,25,47,69,37,62,48.65,68.4204590901,28.8795409099
137,25,26,88,40,35,24,30,58,29,25,65,28,35,44,34,41.95,61.205826186,22.694173814
138,82,48,90,32,57,42,57,53,35,45,70,71,66,65,26,55.2,73.3357454536,37.0642545464
139,34,66,27,60,36,34,57,61,41,47,76,60,23,76,78,49.1,67.8529646779,30.3470353221
140,47,47,47,77,65,43,35,37,93,61,79,29,55,60,49,51.25,68.5244868154,33.9755131846
141,34,81,29,59,42,26,67,54,34,64,42,60,33,39,53,49,64.3382905793,33.6617094207
142,41,34,54,26,42,74,33,32,39,22,30,28,93,29,57,40.65,58.2486692081,23.0513307919
143,77,31,28,36,25,65,38,30,28,44,31,24,47,22,45,42.05,64.079824282,20.020175718
144,33,53,35,50,68,49,41,70,84,27,32,31,37,53,32,45.3,60.7310009226,29.8689990774
145,50,64,54,55,33,62,30,82,34,23,40,67,30,46,26,45.25,61.7452146171,28.7547853829
146,54,62,73,58,28,47,56,33,31,37,60,68,84,30,50,48.35,65.9845205716,30.7154794284
147,45,54,52,52,36,48,40,36,83,25,45,56,28,31,60,46.4,61.872896507,30.927103493
148,35,68,50,20,74,31,35,98,82,41,89,60,28,38,46,49.4,71.3865987892,27.4134012108
149,42,51,23,32,61,36,59,45,58,21,72,38,45,91,32,44.2,61.2034052317,27.1965947683
150,29,66,108,25,75,43,37,38,31,30,34,55,45,61,42,45.8,66.156299943,25.443700057
151,49,33,59,50,65,47,33,51,61,64,44,35,59,24,63,46.55,59.2757509343,33.8242490657
152,44,43,37,51,49,34,79,38,32,30,26,25,67,40,34,42.85,60.0279387281,25.6720612719
153,35,61,64,82,22,23,68,29,52,66,126,81,55,91,46,54.3,81.7362418786,26.8637581214
154,40,40,34,31,43,70,103,66,51,29,38,50,52,21,31,47.7,68.1350060848,27.2649939152
155,68,51,38,60,21,32,46,37,53,78,49,30,31,49,35,46.75,65.6705402171,27.8294597829
156,26,37,34,46,49,62,29,65,30,27,47,46,24,131,57,44.85,68.4860006413,21.2139993587
157,33,61,39,87,38,36,57,23,57,40,93,37,41,27,44,48.3,68.7478798283,27.8521201717
158,29,95,49,45,22,53,29,37,39,88,80,32,79,32,99,54.35,79.5612652347,29.1387347653
159,50,40,64,52,53,66,64,33,68,38,60,47,39,25,25,44.9,61.3089192691,28.4910807309
160,58,53,52,36,69,30,68,75,52,35,52,25,38,44,76,47.7,64.6056203672,30.7943796328
161,50,25,38,43,61,36,38,35,39,33,33,51,28,38,25,38.4,47.7042152303,29.0957847697
162,21,45,137,30,80,36,28,46,21,85,47,50,68,27,67,48.35,76.1751590056,20.5248409944
163,64,28,61,36,58,81,21,37,43,35,41,41,45,36,45,43.9,58.8204910319,28.9795089681
164,64,33,93,48,43,25,27,35,64,44,80,40,26,47,95,49.9,71.1996169968,28.6003830032
165,43,27,36,73,32,55,40,56,30,60,44,35,66,47,55,44.8,57.608714139,31.991285861
166,38,31,50,44,74,33,35,40,34,53,35,73,51,70,52,47.25,62.3178290966,32.1821709034
167,44,26,39,71,36,55,51,57,37,63,63,67,81,70,70,52.85,69.9141976695,35.7858023305
168,64,60,30,61,59,45,38,42,59,40,40,69,51,57,33,50.55,61.2687734962,39.8312265038
169,25,72,23,81,28,65,76,37,67,79,77,39,72,24,72,51.25,73.4971169037,29.0028830963
170,31,47,22,29,30,31,33,24,51,44,38,31,49,68,66,47.9,70.2533819412,25.5466180588
171,22,51,75,42,34,34,28,77,71,59,26,22,26,71,48,44.2,62.0844242731,26.3155757269
172,44,45,37,35,40,47,51,51,99,33,76,36,28,48,42,43.95,60.8069055036,27.0930944964
173,39,35,45,54,60,30,40,35,36,76,27,21,72,28,30,43.45,60.6162919394,26.2837080606
174,48,64,84,45,63,40,102,49,63,61,64,74,93,26,63,59.15,79.1428276613,39.1571723387
175,27,54,76,51,43,73,70,28,37,20,49,78,54,58,57,55.15,81.8614700378,28.4385299622
176,41,51,36,31,49,24,30,32,27,24,35,36,48,41,29,37.45,49.0052448789,25.8947551211
177,69,52,30,49,33,65,49,66,68,53,76,74,39,32,51,50.8,66.6167133455,34.9832866545
178,67,27,49,57,60,37,88,46,62,26,80,68,25,54,20,50.6,69.7459766283,31.4540233717
179,39,48,36,24,36,45,26,55,39,52,64,71,65,36,31,48.5,71.1239277152,25.8760722848
180,44,37,77,36,44,20,63,38,78,61,59,46,74,69,35,48.55,65.7132256814,31.3867743186
